name	nmol	charge	massdiff	oidscore	quasi	ips
[M+H]+	1	1	1.007276455	1	1	1
[2M+H]+	2	1	1.007276455	1	0	1
[3M+H]+	3	1	1.007276455	1	0	1
[4M+H]+	4	1	1.007276455	1	0	1
[M+2H]2+	1	2	2.014552	2	0	0.75
[2M+2H]2+	2	2	2.014552	2	0	0.75
[3M+2H]2+	3	2	2.014552	2	0	0.75
[4M+2H]2+	4	2	2.014552	2	0	0.75
[M+3H]3+	1	3	3.021828	3	0	0.75
[2M+3H]3+	2	3	3.021828	3	0	0.75
[3M+3H]3+	3	3	3.021828	3	0	0.75
[4M+3H]3+	4	3	3.021828	3	0	0.75
[M+Na]+	1	1	22.989218	8	1	1
[M+2Na-H]+	1	1	44.97116	34	0	0.75
[2M+Na]+	2	1	22.989218	8	0	0.75
[2M+2Na-H]+	2	1	44.97116	34	0	0.5
[3M+Na]+	3	1	22.989218	8	0	0.75
[3M+2Na-H]+	3	1	44.97116	34	0	0.5
[4M+Na]+	4	1	22.989218	8	0	0.75
[4M+2Na-H]+	4	1	44.97116	34	0	0.5
[M+K]+	1	1	38.963158	10	1	1
[M+2K-H]+	1	1	76.91904	60	0	0.75
[2M+K]+	2	1	38.963158	10	0	0.75
[2M+2K-H]+	2	1	76.91904	60	0	0.75
[3M+K]+	3	1	38.963158	10	0	0.75
[3M+2K-H]+	3	1	76.91904	60	0	0.75
[4M+K]+	4	1	38.963158	10	0	0.75
[4M+2K-H]+	4	1	76.91904	60	0	0.75
[M+H+Na]2+	1	2	23.996494	4	0	0.25
[M+2Na]2+	1	2	45.978436	9	0	0.25
[2M+H+Na]2+	2	2	23.996494	4	0	0.25
[2M+2Na]2+	2	2	45.978436	9	0	0.25
[3M+H+Na]2+	3	2	23.996494	4	0	0.25
[3M+2Na]2+	3	2	45.978436	9	0	0.25
[4M+H+Na]2+	4	2	23.996494	4	0	0.25
[4M+2Na]2+	4	2	45.978436	9	0	0.25
[M+H+K]2+	1	2	39.970434	6	0	0.25
[M+2K]2+	1	2	77.926316	13	0	0.25
[2M+H+K]2+	2	2	39.970434	6	0	0.25
[2M+2K]2+	2	2	77.926316	13	0	0.25
[3M+H+K]2+	3	2	39.970434	6	0	0.25
[3M+2K]2+	3	2	77.926316	13	0	0.25
[4M+H+K]2+	4	2	39.970434	6	0	0.25
[4M+2K]2+	4	2	77.926316	13	0	0.25
[M+Na+K-H]+	1	1	60.9451	11	0	0.5
[M+Na+K]2+	1	2	61.952376	11	0	0.25
[2M+Na+K]2+	2	2	61.952376	11	0	0.25
[3M+Na+K]2+	3	2	61.952376	11	0	0.25
[4M+Na+K]2+	4	2	61.952376	11	0	0.25
[2M-2H+Fe3+]+	2	1	53.92038509	19	0	0.75
[3M-2H+Fe3+]+	3	1	53.92038509	20	0	0.75
[4M-2H+Fe3+]+	4	1	53.92038509	21	0	0.75
[2M-2H+Al3+]+	2	1	24.96698572	27	0	0.75
[3M-2H+Al3+]+	3	1	24.96698572	28	0	0.75
[4M-2H+Al3+]+	4	1	24.96698572	29	0	0.75
[M+H+NaCl]+	1	1	58.96589688	22	0	0.5
[M+H+(NaCl)2]+	1	1	116.9245173	23	0	0.5
[M+H+KCl]+	1	1	74.93983658	24	0	0.5
[M+H+(CH3)2CO-H2O]+ (acetone cond.)	1	1	41.038576	25	0	0.5
[M+H+CHOONa]+	1	1	68.99472	26	0	0.5
[M+NH4]+	1	1	18.03385	10	1	1
[M+H-HCOOH]+	1	1	-44.99820287	85	0	0.75
[M+H-NH3]+	1	1	-16.01927265	86	0	0.75
[M+H-H2O]+	1	1	-17.00328824	87	0	0.75
[M+H-COCH2]+	1	1	-41.003288	88	0	0.75
[M+H-CO2]+	1	1	-42.9825528	89	0	0.75
[M+H-NH3-CO2]+	1	1	-60.00910191	90	0	0.5
[M+H-NH3-HCOOH]+	1	1	-62.02475198	91	0	0.5
[M+H-NH3-H2O]+	1	1	-34.02983735	92	0	0.5
[M+H-NH3-COCH2]+	1	1	-58.02983735	93	0	0.5
[M+H-S]+	1	1	-30.96479424	94	0	0.5
[M+H-S-NH3-HCOOH]+	1	1	-93.99682268	95	0	0.5
